,Day,mW_A,sW_A,mICU_A,sICU_A,mW_P,sW_P,mICU_P,sICU_P
1,0.0,0,0,0,0,0,0,0,0
2,1.0,0,0,0,0,0,0,0,0
3,2.0,0,0,0,0,0,0,0,0
4,3.0,0,0,0,0,0.0,0.0,0,0
5,4.0,0.0,0.0,0,0,1.426566943313812e-16,5.865818023494294e-15,0.0,0.0
6,5.0,2.1043126122387014e-11,2.167575889523711e-10,0.0,0.0,3.918252859638496e-13,1.6111237087329344e-11,4.7552231443793736e-17,0.0
7,6.0,5.779770062051609e-08,5.953530934819543e-07,7.0859506330486896e-12,4.731309786877984e-11,3.445693630380787e-11,1.4168148151236788e-09,1.306084286546165e-13,0.0
8,7.0,5.082724380887282e-06,5.235529529704627e-05,1.9462491025275827e-08,1.2995161698620844e-07,7.549381115710166e-10,3.104186314025562e-08,1.1485692986834066e-11,0.0
9,8.0,0.00011141785669289571,0.0011476748199166027,1.711529638462044e-06,1.1427933030212469e-05,7.752584248065842e-09,3.1877402335797055e-07,2.5177659806676205e-10,0.0
10,9.0,0.001148657576378517,0.011831903935737022,3.7518257865975096e-05,0.00025051049579712787,4.905772502100939e-08,2.0171761932980843e-06,2.5955498339134598e-09,0.0
11,10.0,0.007347866869709127,0.0756877042582915,0.0003867928573519497,0.002582627125496099,2.211533548982379e-07,9.09347676390781e-06,1.659286595963529e-08,0.0
12,11.0,0.03377073646529732,0.34786007415391657,0.0024742817010245024,0.016520850671681353,7.752662260849286e-07,3.1877723112044764e-05,7.606168876280242e-08,0.0
13,12.0,0.12170644502943405,1.2536538264853552,0.011371778612747295,0.07592969557784292,2.2384669990481234e-06,9.20422285792814e-05,2.7243074657192286e-07,0.0
14,13.0,0.363959365333257,3.749013052882042,0.04098280196531655,0.2736433572198895,5.5402400353894975e-06,0.00022780592250779187,8.058647801051737e-07,0.0
15,14.0,0.9388295677924181,9.670541932236322,0.1225594375365095,0.8183329186436403,1.209814979271737e-05,0.0004974568171347603,2.0454596400690093e-06,0.0
16,15.0,2.14740005502551,22.119586972789516,0.31617229384200096,2.111091574950353,2.3816294975953752e-05,0.0009792884447349405,4.580159302315988e-06,0.0
17,16.0,4.444707601740761,45.78331649719341,0.7234533747611374,4.830519163361149,4.296867324787793e-05,0.0017668039986791914,9.23806896570422e-06,0.0
18,17.0,8.45303791340494,87.0716692366046,1.4987747424910718,10.007362419941959,7.196929900959425e-05,0.0029592639395392374,1.7056303706478797e-05,0.0
19,18.0,14.946458101753468,153.95802898634219,2.8553286310174677,19.065112073570155,0.00011306112156292578,0.004648894801107146,2.919511870466318e-05,0.0
20,19.0,24.800361171773808,255.4595007166124,5.0626020168072525,33.803140481212814,0.00016797697172923329,0.006906947850708606,4.680457923546947e-05,0.0
21,20.0,38.90731495437138,400.7701010330412,8.432718682256553,56.305507189489774,0.0002376328033295996,0.00977108566322367,7.086455153178162e-05,0.0
22,21.0,58.068720442183945,598.1447700969858,13.29505733913035,88.77148340880797,0.00032190629422548887,0.013236278545455959,0.00010202574734213792,0.0
23,22.0,82.87823044088253,853.6985095523876,19.961069689607267,133.28064118668468,0.00041953615516137775,0.017250664274727705,0.00014047960908596932,0.0
24,23.0,113.61575980570811,1170.3146205200544,28.683646198953134,191.5215374935,0.0005281548236333547,0.021716892419134652,0.00018587880848618606,0.0
25,24.0,150.16963639177305,1546.842808849859,39.61700947521056,264.5239211555958,0.0006444450970513481,0.026498564845861355,0.00023732028252055433,0.0
26,25.0,191.99960339627486,1977.7180857036647,52.78349742278837,352.43694300850694,0.0007643938375245873,0.03143066766137284,0.00029339174276147244,0.0
27,26.0,238.1464073892599,2453.0595303731243,68.0526553630648,454.3895533799024,0.0008836054038452581,0.036332459039689895,0.00035227284330829087,0.0
28,27.0,287.2862842489877,2959.2315300837245,85.1360729021614,568.4560277059808,0.0009976343256483688,0.0410211482585678,0.0004118752694987736,0.0
29,28.0,337.8222778859731,3479.7844209591776,103.59888588065155,691.7327653832302,0.0011022999087777698,0.045324831775401725,0.0004700025861739644,0.0
30,29.0,387.9999860944089,3996.6467439409857,122.8863747259434,820.5158877386386,0.0011939531072556468,0.049093466581235486,0.0005245106265831677,0.0
31,30.0,436.03342262052985,4491.421704179532,142.3620904605817,950.5558064927757,0.0012696760165305564,0.052207073048131436,0.0005734518206440939,0.0
32,31.0,480.2270852563637,4946.644550072508,161.35271041145285,1077.3567266309665,0.0013274048098788844,0.05458078987988835,0.0006151911902105636,0.0
33,32.0,519.0825284130578,5346.880338583078,179.19444936848822,1196.4865350558732,0.0013659763665735218,0.0561667913887139,0.0006484867876777988,0.0
34,33.0,551.3810752884683,5679.575923196386,195.27624153026184,1303.8651276905227,0.001385106278606865,0.05695338316640071,0.0006725322766498553,0.0
35,34.0,576.2380738517667,5935.618825084478,209.0758658875279,1396.0056197118197,0.0013853109467286007,0.05696179879640629,0.0006869635417032351,0.0
36,35.0,593.1277104081141,6109.592828611498,220.18646714320576,1470.1914265023906,0.0013677890893032155,0.05624132768516512,0.0006918343222664274,0.0
37,36.0,601.8804211105543,6199.751318259107,228.33228712620058,1524.5813027568743,0.001334278492513984,0.054863424856660535,0.000687567782613133,0.0
38,37.0,602.6571478895397,6207.752098319466,233.37367322301205,1558.2427839250154,0.0012869027015746785,0.05291540713711672,0.0006748917269021337,0.0
39,38.0,595.9060013522486,6138.210993182499,235.30243848968544,1571.121205544608,0.001228020122186761,0.050494248445179316,0.0006547650342284922,0.0
40,39.0,582.3073797723987,5998.136538009791,234.22934592989654,1563.9561354033124,0.0011600851768714107,0.04770087075951525,0.0006283020711966489,0.0
41,40.0,562.7133955217907,5796.30603243609,230.36586685546922,1538.1595735828248,0.0010855281713420767,0.04463520441373671,0.0005967005956809677,0.0
42,41.0,538.0867648104121,5542.636066007483,224.0024525278959,1495.6708715791906,0.0010066576970886175,0.04139217504476224,0.0005611772277857816,0.0
43,42.0,509.4433161277435,5247.590318544562,215.48541775513218,1438.8023834082255,0.0009255869443597989,0.03805867369900489,0.0005229131206482533,0.0
44,43.0,477.80114110890804,4921.6557817080875,205.19423433268318,1370.0878532531651,0.0008441833422163634,0.0347114861108702,0.00048301115028191103,0.0
45,44.0,444.138288842038,4574.906983445459,193.52064012178408,1292.1429261738383,0.0007640395156224112,0.03141609850421099,0.0004424648442730155,0.0
46,45.0,409.3598915199116,4216.667361284387,180.85054645471735,1207.5443433272876,0.0006864626300633458,0.028226259459841523,0.0004021384231265089,0.0
47,46.0,374.274767655035,3855.2682605606933,167.54931966702918,1118.7316663315457,0.0006124787192192902,0.02518415786263529,0.0003627567395075311,0.0
48,47.0,339.5809068756829,3497.8994185814036,153.95065457000806,1027.9329851187042,0.0005428484771178965,0.02232107224991351,0.0003249035487941512,0.0
49,48.0,305.85879910680796,3150.5402509434243,140.34896749674894,937.1141260828842,0.00047809115270616167,0.01965835331850994,0.00028902639333935957,0.0
50,49.0,273.57131351492154,2817.9586045887886,126.99502139167363,847.9494406760931,0.0004185135254628226,0.017208615356201586,0.0002554463896750898,0.0
51,50.0,243.06873038678927,2503.762589357035,114.09435352767059,761.8113072299685,0.00036424138944151757,0.014977030815851874,0.00022437132875387038,0.0
52,51.0,214.59754833587047,2210.491297815627,101.8079999870651,679.7749683362282,0.00031525146772963747,0.012962642587567333,0.00019591069378296355,0.0
53,52.0,188.3117956096474,1939.7313189229085,90.25498868025848,602.6351768044196,0.0002714021723125989,0.01115962879574831,0.00017009143376169565,0.0
54,53.0,164.2857362783629,1692.2476198571396,79.51609166144972,530.9312499828122,0.000232462082511974,0.009558473787498932,0.00014687357606622229,0.0
55,54.0,142.5270528818143,1468.1193356666886,69.63837529848176,464.97745137441314,0.0001981354177495691,0.008147015532465836,0.00012616499811851447,0.0
56,55.0,122.98978541543018,1266.8730490597895,60.640152189656625,404.8960547291488,0.0001680841168366052,0.006911353488347254,0.00010783489273953284,0.0
57,56.0,105.58649670829975,1087.6081015391635,52.51601218261479,350.65093630282075,0.00014194640360505652,0.005836611990339496,9.172564629318324e-05,0.0
58,57.0,90.19930582906929,929.110244503387,45.241684123610824,302.0800368980095,0.00011935192038787308,0.004907562515948731,7.766299977056036e-05,0.0
59,58.0,76.68957812097165,789.9514527735338,38.77854979857726,258.9255015794621,9.993365313708158e-05,0.004109114027018158,6.546448050595124e-05,0.0
60,59.0,64.90618031581661,668.5749575200643,33.07769352786134,220.86071893558673,8.33369633676871e-05,0.0034266843490002924,5.4946178537385815e-05,0.0
61,60.0,54.69230203885708,563.3655121035194,28.08342320974282,187.51383118813146,6.922609191411046e-05,0.0028464675951525684,4.59280004268281e-05,0.0
62,61.0,45.890912826117614,472.70560282534393,23.736240660027114,158.4875672357874,5.728851683265046e-05,0.0023556133566056936,3.8237569046131606e-05,0.0
63,62.0,38.34896956773666,395.0187882715373,19.975271143451614,133.37546470584422,4.7237541100229966e-05,0.0019423331044502458,3.171295499201773e-05,0.0
64,63.0,31.920516638698963,328.80163263183334,16.740184909591566,111.77470010515876,3.8813462399587976e-05,0.0015959482894567429,2.6204428290312566e-05,0.0
65,64.0,26.468833573464998,272.64582811496433,13.972658550650454,93.29584634850023,3.178364337543116e-05,0.001306893230897663,2.1575411820510235e-05,0.0
66,65.0,21.867786499550846,225.25211557445976,11.61743246219867,77.56993345456868,2.594176118932388e-05,0.0010666842594294359,1.7702803804572803e-05,0.0
67,66.0,18.00253282312218,185.43754321866146,9.623023990284794,64.25321024993829,2.1106473727330148e-05,0.0008678648736566675,1.447681851687487e-05,0.0
68,67.0,14.769716554698778,152.13747858976734,7.94215527983409,53.030001125221624,1.711969912881249e-05,0.0007039349970728822,1.1800474247153523e-05,0.0
69,68.0,12.077276380788557,124.4036315795361,6.531951541643203,43.61402986954295,1.3844667241707797e-05,0.0005692708569781167,9.588837101335313e-06,0.0
70,69.0,9.84397185349644,101.3991738807699,5.353960392286881,35.74854880365628,1.1163867296727405e-05,0.00045904059608254137,7.768109597948163e-06,0.0
71,70.0,7.998716172244323,82.39186621447419,4.374036871365482,29.205571036772515,8.976986107872675e-06,0.0003691194945671331,6.274634957801066e-06,0.0
72,71.0,6.479787876287069,66.74593826116681,3.5621323051272085,23.784460702842146,7.198905617512271e-06,0.0002960076322990244,5.053871924301559e-06,0.0
73,72.0,5.233978943894324,53.91331354037997,2.892018806541204,19.310093439553835,5.757807490005296e-06,0.00023675195271403358,4.059381083069224e-06,0.0
74,73.0,4.215723641823723,43.42463600591508,2.340975184561995,15.630759195384524,4.59341540719135e-06,0.00018887398878253907,3.2518519887275226e-06,0.0
75,74.0,3.386241132259831,34.880438351748474,1.8894545724304577,12.615942974126213,3.6553923085482643e-06,0.00015030396005543854,2.5981908495087823e-06,0.0
76,75.0,2.712715328620531,27.942694004973525,1.5207492806492766,10.154087048483868,2.9018995720086828e-06,0.00011932152845430441,2.0706808857395203e-06,0.0
77,76.0,2.167527705138856,22.32691457632483,1.2206642721660443,8.150410744403803,2.298317561826474e-06,9.450318921983857e-05,1.6462215435099118e-06,0.0
78,77.0,1.7275525558339635,17.79489057914745,0.9772072347618992,6.5248410454247345,1.8161216103124346e-06,7.467605305560998e-05,1.3056482706178949e-06,0.0
