,Day,mW_A,sW_A,mICU_A,sICU_A,mW_P,sW_P,mICU_P,sICU_P
0,1.0,0,0,0,0,0,0,0,0
1,2.0,3.60739304955206e-10,3.7158443820406475e-09,9.01848262388015e-11,6.021667001481071e-10,2.853133886627624e-12,1.1731636046988587e-10,7.13283471656906e-13,0.0
2,3.0,9.90817724923133e-07,1.0206053031119216e-05,2.4770443123078324e-07,1.653929670733562e-06,7.836505719276991e-09,3.222247417465869e-07,1.959126429819248e-09,0.0
3,4.0,8.71324179580677e-05,0.0008975193479493647,2.1783104489516924e-05,0.00014544642038452233,6.891415792100439e-07,2.8336413618834046e-05,1.7228539480251097e-07,0.0
4,5.0,0.001910020400449641,0.01967442548428462,0.00047750510011241025,0.003188315401054354,1.5106598737139609e-05,0.000621159487546859,3.7766496842849023e-06,0.0
5,6.0,0.019691272737917438,0.20283263889834896,0.0049228181844793596,0.03286979977904126,0.00015574082511395993,0.0064038168221200635,3.893520663513172e-05,0.0
6,7.0,0.12596343199203325,1.2975035009514044,0.03149085801303912,0.2102653721850354,0.000996257179477901,0.040964522182479486,0.0002490652745515707,0.0
7,8.0,0.578926745997997,5.9633138590119845,0.1447317277857184,0.9663779436319769,0.00457845943546282,0.18825902283975415,0.0011447013278464166,0.0
8,9.0,2.086382504056239,21.49106737190156,0.5215992624313464,3.4827334015845244,0.016493687750697723,0.678194397643821,0.004125338323469136,0.0
9,10.0,6.239057514131457,64.26626235251135,1.559844487261433,10.41512687679062,0.04926272419282892,2.0256054355604003,0.012335720011631765,0.0
10,11.0,16.092516279767057,165.7631574649047,4.0239614333534455,26.86810718501078,0.12673038536579692,5.210953345633098,0.031812301868256725,0.0
11,12.0,36.80765483647265,379.1422657899213,9.207291289124711,61.47735094808249,0.2885236092479838,11.863635248683547,0.07273052689625087,0.0
12,13.0,76.19985426386177,784.9069854305064,19.0749644065882,127.36409051499501,0.5930920890750402,24.387010241572376,0.1504305039744133,0.0
13,14.0,145.01931895716297,1493.791262089524,36.34608779382044,242.68388223252737,1.1177597419542118,45.960515705354105,0.2858314309589669,0.0
14,15.0,256.80267999374206,2645.231009319096,64.47738484281177,430.5173684336581,1.954690998922549,80.3738075214864,0.504885521388999,0.0
15,16.0,427.1973557757782,4400.404593226006,107.5238109957685,717.9396041993318,3.202598274931659,131.68578433107152,0.8368804166727248,0.0
16,17.0,672.7521611075175,6929.77533642331,169.87151079478807,1134.23700383492,4.955085985820503,203.7453119169615,1.3116422853232403,0.0
17,18.0,1009.2703659270927,10396.126975007563,255.86048337148944,1708.3878674018158,7.287404659285333,299.6465731614035,1.9559532919806217,0.0
18,19.0,1449.9134019694873,14935.030630562318,369.33408161960136,2466.054373628325,10.24383214775556,421.2102034438963,2.7897018930897697,0.0
19,20.0,2003.305508183444,20635.32145192461,513.1666430724931,3426.4285575802774,13.827823556787688,568.5782712494938,3.8223769557318006,0.0
20,21.0,2671.908462677021,27522.357320054463,688.827194450362,4599.319153270069,17.996547687501064,739.9896253084319,5.05047752155588,0.0
21,22.0,3450.9069002888627,35546.5369097386,896.0355273205239,5982.855200866651,22.66062774722632,931.7692330273981,6.456256787152286,0.0
22,23.0,4327.774572965606,44578.83189548608,1132.5572714227212,7562.11774534575,27.689033462441927,1138.5293364490924,8.00799521480922,0.0
23,24.0,5282.59488726868,54414.08869180865,1394.1682320465875,9308.901716124998,32.91831133026282,1353.5489856193594,9.66175702423804,0.0
24,25.0,6289.10432310996,64781.77633013274,1674.7976211557452,11182.6722854332,38.164810187461974,1569.276734681825,11.364374755190287,0.0
25,26.0,7316.333774925616,75362.89331728741,1966.838083785218,13132.634923556627,43.238310298971186,1777.8910484774342,13.057261113093187,0.0
26,27.0,8330.65494922555,85811.04683240077,2261.5909559005227,15100.708398476578,47.955482986815554,1971.8537412341927,14.680580165058386,0.0
27,28.0,9298.00448220915,95775.36255356426,2549.800815192919,17025.0939870312,52.151838215883856,2144.401242429435,16.17731826539715,0.0
28,29.0,10186.058140981211,104922.88031381655,2822.2258588131,18844.083903584247,55.69118188945698,2289.9334658493826,17.496863650417485,0.0
29,30.0,10966.156266162492,112958.38738520499,3070.1904064777355,20499.75037929,58.47202320309291,2404.2772698640183,18.597810819901074,0.0
30,31.0,11614.83074512117,119640.14727469374,3286.072101198709,21941.198715491144,60.430777301260115,2484.818145611025,19.44982897966615,0.0
31,32.0,12114.84314867776,124790.59319279826,3463.6874823430217,23127.141766221364,61.5419508998029,2530.5078494984755,20.034553317407767,0.0
32,33.0,12455.70370113356,128301.6737751025,3598.5534026842,24027.645427438645,61.81575082323001,2541.7660700341303,20.34555937190894,0.0
33,34.0,12633.693918831772,130135.08627384371,3688.016101928621,24624.990464703656,61.29370898555851,2520.3005339456636,20.387555890535875,0.0
34,35.0,12651.45709113747,130318.0582514261,3731.252808337891,24913.683207258844,60.04297840291971,2468.8724672253184,20.174977558144064,0.0
35,36.0,12517.248000761918,128935.619222353,3729.1612219465123,24899.717624267796,58.14993917593906,2391.03368322118,19.73017740970423,0.0
36,37.0,12243.946394528155,126120.43877437683,3684.1594395101165,24599.239417892448,55.713681580029764,2290.858617599909,19.081414122652802,0.0
37,38.0,11847.939418775328,122041.31494204931,3599.92266912272,24036.788059157243,52.83982678460861,2172.6902460776573,18.26080774201681,0.0
38,39.0,11347.969243433448,116891.30400142644,3481.0837471405357,23243.29713076444,49.635023580915494,2040.913798557381,17.302405060519554,0.0
39,40.0,10764.026538125365,110876.32256982975,3332.9225992007578,22254.02084931094,46.2023374341902,1899.7671642347948,16.240458658162673,0.0
40,41.0,10116.351373044918,104204.85624915735,3161.066112570859,21106.53010426087,42.637637434661045,1753.1923287278396,15.107986244475669,0.0
41,42.0,9424.583123804272,97079.20310488982,2971.215159272812,19838.889783429706,39.02699426450355,1604.7283825864952,13.935642901886645,0.0
42,43.0,8707.082095880345,89688.48596623322,2768.9104050277683,18488.095072516368,35.44503135162102,1457.4437233396807,12.750910277458647,0.0
43,44.0,7980.429235289513,82203.49912773084,2559.343604182753,17088.811465856335,31.954122234405187,1313.9030524015297,11.577584755812921,0.0
44,45.0,7259.097231854437,74773.32050363228,2347.2167066280663,15672.43401922326,28.604298028217322,1176.1635702392,10.435531308397309,0.0
45,46.0,6555.276809286044,67523.52230520478,2136.6475265608033,14266.457497427378,25.433716710140672,1045.7942726209167,9.340660546569097,0.0
46,47.0,5878.835899873293,60555.75051406062,1931.1180463496248,12894.1311977214,22.469547080616206,923.9122977227066,8.3050825987138,0.0
47,48.0,5237.3863236647685,53948.41172015579,1733.4596453837646,11574.360322396984,19.729131006144666,811.2307157131861,7.337391680606485,0.0
48,49.0,4636.431985961959,47758.199650269955,1545.8685705471717,10321.809275589212,17.22130447183709,708.1128483485653,6.4430384958535765,0.0
49,50.0,4079.5738711803506,42022.2067352148,1369.9446717391668,9147.160301471351,14.947778154156063,614.6290359439179,5.624752831501925,0.0
50,51.0,3568.749659787262,36760.392316763646,1206.7466610790293,8057.482451566382,12.904499340386728,530.6126373514287,4.882984993341199,0.0
51,52.0,3104.489104810137,31978.21318818481,1056.8577648983783,7056.669945004035,11.082937360104046,455.7128848726999,4.21634132810497,0.0
52,53.0,2686.169940943839,27669.259620883513,920.4564825069175,6145.914626851663,9.471253105407285,389.44297308418163,3.621995464840055,0.0
53,54.0,2312.262726935329,23817.77739675904,797.3881250216006,5324.183634951205,8.055329031782815,331.22241084633333,3.096062708406956,0.0
54,55.0,1980.5564016574738,20400.991179287903,687.2337860749549,4588.679919338799,6.81964896491902,280.41319757068385,2.633930017639831,0.0
55,56.0,1688.3593137160465,17391.175246392508,589.3743240469013,3935.2694534621264,5.748027091909017,236.34979818704883,2.2305381031686804,0.0
56,57.0,1432.672983573627,14757.443350883437,503.0477660735916,3358.864522412132,4.824192886411019,198.3631943425588,1.8806153801880297,0.0
57,58.0,1210.3378526023675,12467.250028444087,427.39925103714586,2853.7571937138355,4.032243725774609,165.79949530323273,1.5788658675756522,0.0
58,59.0,1018.1517828975419,10487.611221112504,361.5232017056576,2413.900901928144,3.3569799831347322,138.03371641179046,1.3201147340325639,0.0
59,60.0,852.9631400731735,8786.063089305608,304.49785690674236,2033.141020976056,2.7841388125296613,114.4793919625688,1.0994161716942439,0.0
60,61.0,711.7409792842968,7331.3849725083555,255.4126131182157,1705.3974247325286,2.3005430660788058,94.59469844074084,0.9121287508138185,0.0
61,62.0,591.6252296270764,6094.116320527653,213.388836259406,1424.8034479606094,1.89418112722031,77.88573713899348,0.7539634937503301,0.0
62,63.0,489.9599010010586,5046.898745303315,177.59492635007916,1185.8064734759532,1.5542322023976745,63.90757411174695,0.6210097093956395,0.0
63,64.0,404.3122829727211,4164.6737814189955,147.25646815653104,983.2357083051476,1.271050022438109,52.26357000156743,0.5097432421962342,0.0
64,65.0,332.48092225906413,3424.7650592593154,121.66229717013789,812.3426864004064,1.036116149975745,42.603460114134705,0.41702128862805043,0.0
65,66.0,272.4949005311354,2806.8708659266263,100.16726770503249,668.8197513080289,0.8419723095220735,34.62057193758571,0.34006737785065927,0.0
66,67.0,222.60662468155311,2292.9898804088907,82.19244176559125,548.801317242088,0.6821394502627428,28.04849713251454,0.2764495469862722,0.0
67,68.0,181.2800162814509,1867.2995174710845,67.22333442701829,448.8521534397063,0.5510296825129868,22.657470498067333,0.22405419678278427,0.0
68,69.0,147.1756667327542,1516.0030162777614,54.806762251943596,365.94634094728656,0.4438558340515619,18.25065107119953,0.18105761125369163,0.0
69,70.0,119.13422406020099,1227.1583137797616,44.546752039822465,297.43995522160543,0.35654216860788995,14.660451011838017,0.14589667749036656,0.0
70,71.0,96.15900542602739,990.4989425516927,36.09988240754064,241.03996172842065,0.285638796811037,11.745016316243731,0.11723995479323099,0.0
71,72.0,77.39859106776979,797.2547372756904,29.170353200862863,194.77129425972632,0.22824148073285447,9.384929306450044,0.0939599162543617,0.0
72,73.0,62.12995202496965,639.9780395905284,23.50500916065607,156.94362780881173,0.18191787099736118,7.480175616668248,0.07510691824276126,0.0
73,74.0,49.74249500600602,512.3793500676286,18.888485282518005,126.11896399571792,0.14464070089420827,5.947397240716238,0.059885239026640155,0.0
74,75.0,39.723270787483614,409.17496531275697,15.13859188323319,101.08081702213104,0.11472807423164344,4.717437262814722,0.047631360935339706,0.0
75,76.0,31.64348444196211,325.94802472799626,12.102017012879134,80.8055185523863,0.09079070216608931,3.733170319329766,0.037794544442777925,0.0
76,77.0,25.146362798691268,259.0235376372966,9.650391716129354,64.4359453490809,0.07168574953617919,2.947604832902541,0.029919650786624504,0.0
77,78.0,19.93637307927097,205.35732837351435,7.676738775617021,51.2578074295271,0.056476825740229414,2.3222379005032896,0.023632106024653682,0.0
78,79.0,15.769742956604466,162.43838685347626,6.092306929420551,40.6785100440961,0.04439958352723525,1.825640770034779,0.01862485814409675,0.0
79,80.0,12.446202974340775,128.20381024387862,4.823779122720053,32.208513091567674,0.03483235808581041,1.432251566028823,0.014647155033577004,0.0
80,81.0,9.801854309698097,100.96533638007466,3.8108341720914694,25.44505028091064,0.027271277579788568,1.1213518741693724,0.011494960568653262,0.0
81,82.0,7.703055640916853,79.34637461101104,3.0040354238559015,20.058031641852587,0.021309295903952467,0.8762046013142697,0.009002825220467872,0.0
82,83.0,6.041220173709961,62.22841186097635,2.3630168169480763,15.777931814048658,0.016618631856107565,0.6833319019785418,0.007037033594860607,0.0
83,84.0,4.728415858787255,48.705692070489434,1.8549355692051623,12.385458588559976,0.01293614066525059,0.5319136786702781,0.005489861854845866,0.0
84,85.0,3.693667019170277,38.04712060434086,1.4531609556857354,9.702797842664085,0.010051189742869959,0.4132890519276534,0.0042747912907263675,0.0
85,86.0,2.8798628393629744,29.66441972290057,1.1361699011613207,7.58623937889327,0.007795657605171109,0.3205451317920099,0.003322539029783828,0.0
86,87.0,2.2411865557421486,23.08564760731495,0.886622018858477,5.920000931891649,0.006035721011762673,0.24817931791830772,0.0025777820298089563,0.0
87,88.0,1.7409880619974345,17.933284841862253,0.6905890246028029,4.61108294430779,0.0046651390505921845,0.191823151751758,0.001996465375847234,0.0
88,89.0,1.3500315235245086,13.906183727147098,0.5369159365916005,3.585003279151634,0.0035997832841558565,0.14801740477658004,0.0015436000250491967,0.0
89,90.0,1.0450581472833498,10.764763895120767,0.41669398761969945,2.7822778394408365,0.0027731996828681982,0.11402959222363357,0.0011914682256198045,0.0
90,91.0,0.8076122620937205,8.318920189151129,0.32282762439943324,2.1555294101032567,0.0021330207324602598,0.08770644459172822,0.0009181667118038188,0.0
91,92.0,0.6230862010563851,6.418184345213042,0.249680278264654,1.6671224586950553,0.0016380748493533732,0.0673550513718727,0.0007064283851827935,0.0
92,93.0,0.4799460815581843,4.943750033298896,0.19278572060739554,1.2872358472806247,0.0012560652492673717,0.051647419789389096,0.000542672540471228,0.0
93,94.0,0.36910643588200054,3.8020311547742356,0.148613742737294,0.992298270058679,0.000961711957010479,0.03954407718014185,0.00041624183571122773,0.0
94,95.0,0.2834267767967646,2.9194761476159083,0.11438061618003914,0.7637226912783809,0.0007352690358138417,0.030233101801990646,0.00031879122619725235,0.0
95,96.0,0.21730762946490556,2.238406858011011,0.08789629888602205,0.5868861366634739,0.0005613446893177787,0.02308160729146174,0.0002438000791990582,0.0
96,97.0,0.16636737850385436,1.713689859465851,0.06744166554489339,0.4503099566622806,0.0004279649848836238,0.01759724444466261,0.0001861837703244309,0.0
97,98.0,0.12718452865482377,1.3100815736929938,0.051670170687713526,0.34500322812899675,0.0003258328860177831,0.013397733800507974,0.0001419853403389233,0.0
98,99.0,0.0970927228288043,1.0001168260535398,0.03952931836569964,0.2639384050913143,0.00024774336473582594,0.010186815984638026,0.00010813136750226122,0.0
99,100.0,0.07401816468140734,0.7624341946288271,0.030198129707643066,0.20163378781786145,0.00018812286492259214,0.007735315169949136,8.223918208782894e-05,0.0
100,101.0,0.05635101334688308,0.5804512941483662,0.02303748727080398,0.15382197060911768,0.00014266754924787062,0.005866264360955652,6.246500522853724e-05,0.0
101,102.0,0.04284390995694855,0.44131953456546535,0.017550809735406674,0.11718726559212819,0.00010805979976129854,0.004443248345882786,4.738461277073138e-05,0.0
102,103.0,0.03253210822545546,0.3351014152578297,0.013352987877072921,0.08915828730758765,8.174654253952193e-05,0.0033612887561715768,3.589977620387394e-05,0.0
103,104.0,0.024670758339798423,0.25412450920235613,0.010145907178669946,0.067744516479307,6.176629009709618e-05,0.002539732323506044,2.7165077682883057e-05,0.0
104,105.0,0.018685772890350297,0.1924753507839566,0.007699206676636842,0.05140782627314344,4.661447826466805e-05,0.001916713744870018,2.0530786918000002e-05,0.0
105,106.0,0.01413541867717824,0.14560380696532577,0.005835188907880002,0.03896172557481093,3.513883217968795e-05,0.0014448532972968229,1.5498368802365566e-05,0.0
106,107.0,0.010680357306166703,0.11001447636362414,0.004417011892469228,0.029492516515910755,2.6458225537373486e-05,0.0010879204583858662,1.1685899710665911e-05,0.0
107,108.0,0.00806032459350326,0.08302647227762061,0.0033394693472791016,0.02229773369304202,1.989987871960344e-05,0.0008182515925236109,8.801238994221754e-06,0.0
108,109.0,0.006076014211812159,0.06258681271530211,0.002521806925567521,0.016838177991139108,1.4950841364871041e-05,0.000614754990766522,6.621256608499557e-06,0.0
109,110.0,0.004575031687178998,0.047125737625655625,0.0019021362568531442,0.012700618965741067,1.12205780643591e-05,0.00046137245373889274,4.97577980116537e-06,0.0
110,111.0,0.003441024879907931,0.035444745934114605,0.0014330999847584438,0.00956885017495619,8.412166923193424e-06,0.00034589502194754104,3.7352092755264082e-06,0.0
111,112.0,0.00258528808662433,0.026630112451846325,0.0010785140859398252,0.007201269845585965,6.300166153383746e-06,0.00025905288503102466,2.80098289231231e-06,0.0
112,113.0,0.0019402884428148266,0.019986205702717984,0.0008107719927485915,0.005413548124852129,4.71363320400143e-06,0.00019381715520444916,2.0982447326389387e-06,0.0
113,114.0,0.0014546831921091322,0.014984162626352198,0.0006088413102991185,0.004065251102165862,3.523118026489514e-06,0.00014486505086596578,1.5702189096341775e-06,0.0
114,115.0,0.0010894909732962628,0.011222450398156654,0.0004567205690479718,0.0030495365013445126,2.6307160864019364e-06,0.00010817089214525946,1.1738987142102415e-06,0.0
115,116.0,0.0008151547019738999,0.008396612241403091,0.0003422524051284739,0.0022852292512878466,1.962473019984941e-06,8.069379237482378e-05,8.76748809546964e-07,0.0
116,117.0,0.0006092920392075944,0.006276095823024198,0.0002562123688715284,0.0017107374340471187,1.4625936484736742e-06,6.013954190149868e-05,6.541862961826871e-07,0.0
117,118.0,0.0004549751772756792,0.004686533952201578,0.00019161048452056147,0.0012793887787870342,1.0890331523299005e-06,4.477932413242905e-05,4.876595858374832e-07,0.0
118,119.0,0.0003394174000666087,0.003496215316707316,0.00014315673290127585,0.0009558616740707434,8.101453013481248e-07,3.331189604929682e-05,3.631853552696832e-07,0.0
119,120.0,0.0002529717208257162,0.0026057698145216177,0.0001068526148874697,0.0007134580252764911,6.021378453200036e-07,2.4758957890245784e-05,2.702359468008637e-07,0.0
120,121.0,0.0001883685544870186,0.0019403160937758416,7.967952492750487e-05,0.0005320225155967074,4.471433108665527e-07,1.838582736173218e-05,2.0089445284176456e-07,0.0
121,122.0,0.00014013618664625088,0.001443492014415015,5.93613366232411e-05,0.00039635738306355436,3.3175831003536125e-07,1.3641378314397003e-05,1.492139556138796e-07,0.0
122,123.0,0.00010416081594142568,0.0010729228047694132,4.4183785899945734e-05,0.0002950164367365424,2.459390145377965e-07,1.0112624387687926e-05,1.1073223912232279e-07,0.0
